restaurant_name,cuisines,avg_cost_for_two,has_table_booking,has_online_delivery,price_range,rating,votes
Chaat Chowk,Street Food,350,False,True,1,3.7,217
Chef Style,North Indian,700,True,True,2,3.8,239
Delhicacy,Fast Food,350,False,True,1,3.8,317
Dimsum & Co.,Chinese,650,False,True,2,3.9,136
Instapizza,Fast Food,900,True,True,2,3.6,426
L'Opera,Fast Food,400,False,True,1,3.8,196
Lazeez Food,North Indian,800,False,True,2,3.5,173
Le Marche Sugar & Spice Cafe,Fast Food,700,False,False,2,3.5,52
The Breakfast Club,Multicuisine,500,False,True,2,3.5,189
Sugar & Spice - Le Marche,Fast Food,800,False,False,2,2.4,88
Crudo Juicery,Multicuisine,400,False,True,1,4.3,154
Fork with Stick,Chinese,800,True,True,2,4.0,169
Uptown Fresh Beer Cafe,Multicuisine,2500,False,False,4,4.1,230
Barista,Cafe,650,False,True,2,3.2,18
Cafe Coffee Day,Cafe,450,False,False,1,2.6,27
Domino's Pizza,Fast Food,700,False,False,2,2.8,30
Italiano,Italian,1500,False,False,3,3.0,49
McDonald's,Fast Food,500,False,False,2,2.6,30
Parantha Gurus,North Indian,500,False,False,2,3.3,27
Pizza Hut Delivery,Fast Food,800,False,True,2,2.8,29
Sibang Bakery,Fast Food,300,False,False,1,3.3,13
Sonya Bakery Cafe,Multicuisine,350,False,False,1,3.3,20
Subway,Fast Food,500,False,False,2,3.1,46
Viva Hyderabad,Multicuisine,600,False,True,2,2.5,69
7 Barrel Brew Pub,Multicuisine,2000,True,True,4,3.9,490
Wai Yu Mun Ching,Multicuisine,800,False,True,2,3.5,112
KFC,Fast Food,500,False,True,2,2.2,73
Burmese Kitchen Plus,Multicuisine,800,False,False,2,3.4,65
Drinks Come True,Beverages,150,False,False,1,3.1,9
Eat All Nite,Fast Food,800,False,True,2,3.2,184
Frontier,Cafe,200,False,False,1,2.9,4
GenY Cuisines,Fast Food,250,False,False,1,3.0,4
K Raga's,North Indian,600,False,False,2,2.9,5
Kangri,North Indian,750,False,False,2,3.4,84
Makhmali Kebabs,North Indian,550,False,False,2,3.2,10
Masala Ville,North Indian,650,False,False,2,3.2,15
Night Food Xprs,Multicuisine,650,False,False,2,3.1,12
Roti Boti,Fast Food,700,False,False,2,2.9,35
Sama Chicken Biryani,Multicuisine,200,False,False,1,2.9,4
Subway,Fast Food,500,False,True,2,2.8,54
The Rolling Pin Bakery,Cafe,500,False,False,2,3.1,10
Weird Time Food,Fast Food,600,False,True,2,3.1,7
Twigly,Multicuisine,500,False,True,2,4.6,395
Asian Haus,Multicuisine,1500,False,True,3,3.9,360
Beyond Breads,Cafe,200,False,True,1,3.8,326
Biryani By Kilo,Multicuisine,700,False,True,2,3.9,403
Captain Grub,Fast Food,1000,False,True,3,3.8,447
Pita Pit,Healthy Food,600,False,True,2,3.5,56
Rawleaf,Healthy Food,700,False,True,2,3.6,38
Sushi Haus,Asian,1300,False,True,3,3.8,124
Angrezee Choupal,Multicuisine,500,False,True,2,3.8,299
A 1 - Snacks and food corner,Fast Food,350,False,True,1,2.5,16
Anandum,South Indian,400,False,False,1,3.2,13
Apni Rasoi,Multicuisine,400,False,True,1,3.0,160
Banke Bihari Bhojanalay,Multicuisine,200,False,False,1,2.6,36
Biryani 365,North Indian,700,False,True,2,3.2,17
Bro's Kitchenette,Fast Food,350,False,False,1,3.3,11
Cafe Coffee Day,Cafe,450,False,False,1,3.1,9
Cafe Coffee Day,Cafe,450,False,False,1,3.2,26
Cafe Du Rendezvous,Multicuisine,400,False,True,1,3.2,21
Cake 24x7,Cafe,600,False,True,2,3.3,25
Cake On Wheels,Fast Food,200,False,True,1,2.8,18
Cake Point,Cafe,600,False,True,2,2.9,7
Cake Point,Cafe,600,False,True,2,3.0,35
Cakes Degree,Cafe,300,False,True,1,3.4,18
Chateau Garlic,Multicuisine,700,False,False,2,3.0,14
Chennai Express,Multicuisine,300,False,False,1,3.2,15
Crust N Cakes,Cafe,550,False,True,2,3.4,18
